子类,路径/标识,大小字节,mtime,层①安全,层②无人用,层③无价值,判决,证据摘要
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.alert_threshold_registry.yaml__ujzi3v0.tmp,36571,2026-09-11 02:49:10,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-11 02:50:08>2026-09-11 02:49:10),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/alert_threshold_registry.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.backtest_backlog.yaml_7u40e81v.tmp,62844,2026-09-18 01:59:46,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:03:34>2026-09-18 01:59:46),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/backtest_backlog.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.capability_canonical_file_registry.yaml_0iy_ypli.tmp,1634185,2026-09-17 13:27:56,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:21:01>2026-09-17 13:27:56),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/capability_canonical_file_registry.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.capability_canonical_file_registry.yaml_32m2umyt.tmp,1630606,2026-09-17 07:31:55,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:21:01>2026-09-17 07:31:55),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/capability_canonical_file_registry.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.capability_canonical_file_registry.yaml_3xaly9hq.tmp,1408484,2026-09-16 17:08:11,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:21:01>2026-09-16 17:08:11),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/capability_canonical_file_registry.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.capability_canonical_file_registry.yaml_5m1vleta.tmp,1629368,2026-09-17 06:20:35,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:21:01>2026-09-17 06:20:35),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/capability_canonical_file_registry.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.capability_canonical_file_registry.yaml__bvzqv9o.tmp,973913,2026-09-16 16:52:49,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:21:01>2026-09-16 16:52:49),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/capability_canonical_file_registry.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.capability_canonical_file_registry.yaml__cujcl1p.tmp,1633553,2026-09-17 08:42:34,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:21:01>2026-09-17 08:42:34),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/capability_canonical_file_registry.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.capability_canonical_file_registry.yaml_flsaxdhl.tmp,1408484,2026-09-16 17:08:15,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:21:01>2026-09-16 17:08:15),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/capability_canonical_file_registry.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.capability_canonical_file_registry.yaml_jk0fpo63.tmp,737353,2026-09-15 07:49:04,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:21:01>2026-09-15 07:49:04),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/capability_canonical_file_registry.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.capability_canonical_file_registry.yaml_od2vgjg4.tmp,762128,2026-09-15 12:13:40,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:21:01>2026-09-15 12:13:40),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/capability_canonical_file_registry.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.data_asset_registry.yaml_2cp0_w64.tmp,410693,2026-09-14 03:16:02,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-17 00:53:17>2026-09-14 03:16:02),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/data_asset_registry.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.factor_registry.yaml_vkot0w_s.tmp,436178,2026-09-15 03:42:57,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-16 23:34:15>2026-09-15 03:42:57),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/factor_registry.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.factor_registry.yaml_w2xq3pel.tmp,434442,2026-09-15 00:42:17,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-16 23:34:15>2026-09-15 00:42:17),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/factor_registry.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.gate_registry.yaml_39jq580i.tmp,71847,2026-08-31 02:22:40,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-16 22:22:32>2026-08-31 02:22:40),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/gate_registry.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.gate_registry.yaml_n19t1uhx.tmp,71847,2026-08-31 01:54:08,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-16 22:22:32>2026-08-31 01:54:08),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/gate_registry.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.gate_registry.yaml_zehf_0we.tmp,68339,2026-09-14 20:59:46,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-16 22:22:32>2026-09-14 20:59:46),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/gate_registry.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.gate_tracked_write_allowlist.yaml_p64bo1zp.tmp,4623,2026-09-14 18:24:43,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-16 06:08:22>2026-09-14 18:24:43),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/gate_tracked_write_allowlist.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.in_process_gate_registry.yaml_z3fpqksu.tmp,37493,2026-09-16 07:41:43,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-16 08:42:41>2026-09-16 07:41:43),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/in_process_gate_registry.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.registry_master_index.yaml_0ig2gx9a.tmp,15242,2026-09-17 00:21:21,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:24:23>2026-09-17 00:21:21),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/registry_master_index.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.registry_master_index.yaml_54i_kbsm.tmp,13497,2026-09-10 19:49:05,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:24:23>2026-09-10 19:49:05),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/registry_master_index.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.registry_master_index.yaml_5q_jyfr6.tmp,12961,2026-09-07 22:43:19,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:24:23>2026-09-07 22:43:19),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/registry_master_index.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.registry_master_index.yaml_7vpj06x0.tmp,15242,2026-09-17 08:20:30,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:24:23>2026-09-17 08:20:30),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/registry_master_index.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.registry_master_index.yaml_c9v28xhy.tmp,12960,2026-08-28 20:52:00,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:24:23>2026-08-28 20:52:00),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/registry_master_index.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.registry_master_index.yaml_dtwt159k.tmp,12960,2026-08-31 07:31:41,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:24:23>2026-08-31 07:31:41),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/registry_master_index.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.registry_master_index.yaml_f59kdjng.tmp,12960,2026-08-29 11:31:57,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:24:23>2026-08-29 11:31:57),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/registry_master_index.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.registry_master_index.yaml_i_56d71z.tmp,12961,2026-09-04 18:29:01,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:24:23>2026-09-04 18:29:01),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/registry_master_index.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.registry_master_index.yaml_j987pw2p.tmp,12960,2026-09-04 15:59:59,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:24:23>2026-09-04 15:59:59),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/registry_master_index.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.registry_master_index.yaml_laduioe9.tmp,12961,2026-09-08 00:20:45,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:24:23>2026-09-08 00:20:45),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/registry_master_index.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.registry_master_index.yaml_mxl3ubiz.tmp,13497,2026-09-11 07:59:13,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:24:23>2026-09-11 07:59:13),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/registry_master_index.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.registry_master_index.yaml_pb_c1uw1.tmp,12960,2026-08-31 07:44:43,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:24:23>2026-08-31 07:44:43),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/registry_master_index.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.registry_master_index.yaml_u6evsuv3.tmp,12961,2026-09-06 02:17:52,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:24:23>2026-09-06 02:17:52),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/registry_master_index.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.registry_master_index.yaml_v8h85job.tmp,12960,2026-09-02 16:59:03,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:24:23>2026-09-02 16:59:03),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/registry_master_index.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.registry_master_index.yaml_wl_808qp.tmp,14032,2026-09-15 13:46:45,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:24:23>2026-09-15 13:46:45),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/registry_master_index.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.rule_catalog_registry.yaml_04bt57zk.tmp,91734,2026-09-05 20:47:44,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 02:53:10>2026-09-05 20:47:44),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/rule_catalog_registry.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.rule_catalog_registry.yaml_0dht4abv.tmp,91310,2026-09-05 18:53:33,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 02:53:10>2026-09-05 18:53:33),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/rule_catalog_registry.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.rule_catalog_registry.yaml_18zd4mek.tmp,98883,2026-09-18 02:28:40,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 02:53:10>2026-09-18 02:28:40),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/rule_catalog_registry.yaml; md5_equal=False
2-CAS-tmp,docs/01_policies_and_standards/_registry/catalogs/.rule_catalog_registry.yaml_1bfjyydo.tmp,90493,2026-09-01 23:08:01,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 02:53:10>2026-09-01 23:08:01),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=docs/01_policies_and_standards/_registry/catalogs/rule_catalog_registry.yaml; md5_equal=False
