bucket	draft	line	term
EXCL_FRAGMENT	交易决策架构.md	8407	以决定计算哪些策略信号
EXCL_FRAGMENT	交易决策架构.md	8407	密度预测输出增强信号参数{方向
EXCL_FRAGMENT	交易决策架构.md	8407	资金行为分析——主力行为信号输入
EXCL_FRAGMENT	交易决策架构.md	8407	知识图谱引擎——知识信号输入
EXCL_FRAGMENT	交易决策架构.md	8429	直接按即时反应引擎的减仓量执行
EXCL_FRAGMENT	交易决策架构.md	8620	作为因子发现的新方式。 |
EXCL_FRAGMENT	交易决策架构.md	8703	策略回答"我该怎么办
EXCL_FRAGMENT	交易决策架构.md	8703	为密度预测增强信号预留分布参数输出接口。 |
EXCL_FRAGMENT	交易决策架构.md	8774	显存利用率的"下限"均为闲置检测线
EXCL_FRAGMENT	交易决策架构.md	8795	系统必须能回答"为什么"——回溯到具体的因子值
EXCL_FRAGMENT	交易决策架构.md	8795	密度预测参数
EXCL_FRAGMENT	交易决策架构.md	8795	②异常决策自检——当某个因子的贡献度异常高
EXCL_FRAGMENT	交易决策架构.md	8795	🆕分布参数偏离历史均值>3σ→触发密度模型自检
EXCL_FRAGMENT	交易决策架构.md	8808	②信任度模型——AI根据人类历史审批行为
EXCL_FRAGMENT	交易决策架构.md	8928	| 能力描述 | 监控因子/策略的市场整体使用度
EXCL_FRAGMENT	学习系统架构.md	2766	| 覆盖S4~S5
EXCL_FRAGMENT	学习系统架构.md	2768	| **Dnalyaw**🆕 | 全栈量化平台
EXCL_FRAGMENT	学习系统架构.md	2768	| 多语言延迟分层架构：Rust热路径
EXCL_FRAGMENT	集成架构.md	289	OrderPlaced/OrderFilled/RiskThresholdBreached/DataQualityDegraded/StrategyRetired/ModelDriftDetected
EXCL_XREF_CODE	交易决策架构.md	329	C-008
EXCL_XREF_CODE	集成架构.md	100	HB-11
EXCL_XREF_CODE	集成架构.md	104	HB-04
EXCL_XREF_CODE	集成架构.md	104	HB-10
EXCL_XREF_CODE	集成架构.md	109	HB-01
EXCL_XREF_CODE	集成架构.md	159	C-008
EXCL_XREF_CODE	集成架构.md	171	HB-13
REVIEW	交易决策架构.md	282	覆盖率数学保证
REVIEW	交易决策架构.md	300	L5=检测决策
REVIEW	交易决策架构.md	300	实时检测在L3运行时
REVIEW	交易决策架构.md	360	Observability
REVIEW	交易决策架构.md	393	Automation
REVIEW	交易决策架构.md	394	Articles
REVIEW	交易决策架构.md	412	Context
REVIEW	交易决策架构.md	412	Protocol
REVIEW	交易决策架构.md	415	Client
REVIEW	交易决策架构.md	676	Planning
REVIEW	交易决策架构.md	704	SIGNAL/PC
REVIEW	交易决策架构.md	784	Budgeting
REVIEW	交易决策架构.md	2213	Ensemble
REVIEW	交易决策架构.md	3397	🆕体制转换信号注入点
REVIEW	交易决策架构.md	3412	信号层的分布增强
REVIEW	交易决策架构.md	4911	从定性因果推演升级为定量因果推断
REVIEW	交易决策架构.md	5487	恢复=卖出决策引擎上线后切换为融合仲裁模式
REVIEW	交易决策架构.md	5925	还评估模型对因子变化的敏感度
REVIEW	交易决策架构.md	5925	模型精度下降时不仅调参
REVIEW	交易决策架构.md	5990	VaR95
REVIEW	交易决策架构.md	5990	因子A
REVIEW	交易决策架构.md	5990	信号B
REVIEW	交易决策架构.md	6092	🆕远期模型岗位
REVIEW	交易决策架构.md	6603	与§1.1架构图L4监控层归属一致
REVIEW	交易决策架构.md	7399	Hardware
REVIEW	交易决策架构.md	7805	Financial
REVIEW	交易决策架构.md	7805	Interface
REVIEW	交易决策架构.md	7829	Rules
REVIEW	交易决策架构.md	7849	Operations
REVIEW	交易决策架构.md	7849	Disaster
REVIEW	交易决策架构.md	7868	AI-Native
REVIEW	交易决策架构.md	7868	Development
REVIEW	交易决策架构.md	8045	Researcher
REVIEW	交易决策架构.md	8055	Administrator
REVIEW	交易决策架构.md	8258	日频策略
REVIEW	交易决策架构.md	8283	假信号导致的不必要清仓
REVIEW	交易决策架构.md	8283	具体值施工阶段校准
REVIEW	交易决策架构.md	8620	因子看IC
REVIEW	交易决策架构.md	8620	<1分钟/因子
REVIEW	交易决策架构.md	8634	理解因子含义
REVIEW	交易决策架构.md	8703	被策略引用
REVIEW	交易决策架构.md	8774	闲置检测阈值为≥30%
REVIEW	交易决策架构.md	8774	闲置检测阈值同为≥30%
REVIEW	交易决策架构.md	8774	盘前因子全量计算时段期望≥40%
REVIEW	交易决策架构.md	8774	盘前因子全量计算时段≥60%
REVIEW	交易决策架构.md	8774	见下方模型风险管理子能力
REVIEW	交易决策架构.md	8777	与量化信号融合
REVIEW	交易决策架构.md	8808	不适用置信度分层
REVIEW	交易决策架构.md	8928	推断市场整体对同一因子的暴露程度
REVIEW	交易决策架构.md	8930	策略A用RSI+MACD
REVIEW	交易决策架构.md	8946	Transaction
REVIEW	交易决策架构.md	9280	Healthy
REVIEW	交易决策架构.md	9294	Excellent
REVIEW	交易决策架构.md	9524	AI协作策略
REVIEW	交易决策架构.md	9524	策略容量参数
REVIEW	交易决策架构.md	9524	个股信号强度
REVIEW	交易决策架构.md	9530	v8.0DO
REVIEW	交易决策架构.md	9530	因子+信号
REVIEW	交易决策架构.md	9530	方括号内为P1可选增强
REVIEW	交易决策架构.md	9582	未覆盖全量46个列
REVIEW	交易决策架构.md	9613	因子/策略拥挤度深度检测
REVIEW	交易决策架构.md	10168	新股/新因子
REVIEW	交易决策架构.md	10177	Methods
REVIEW	交易决策架构.md	10177	Rough
REVIEW	交易决策架构.md	10177	Theory
REVIEW	交易决策架构.md	10517	Automated
REVIEW	交易决策架构.md	10849	Series
REVIEW	交易决策架构.md	10849	Augmentation
REVIEW	交易决策架构.md	11027	Attention
REVIEW	交易决策架构.md	11027	因子间关系建模
REVIEW	交易决策架构.md	11557	Kolmogorov
REVIEW	交易决策架构.md	11925	LangGraph
REVIEW	交易决策架构.md	11998	FinRL
REVIEW	数据架构.md	83	多策略投票结果
REVIEW	数据架构.md	109	Delta
REVIEW	数据架构.md	109	交易信号
REVIEW	数据架构.md	111	Comfort
REVIEW	数据架构.md	111	Zone
REVIEW	数据架构.md	136	Reactive
REVIEW	数据架构.md	136	Governed
REVIEW	数据架构.md	155	Workable
REVIEW	数据架构.md	155	Pushing
REVIEW	数据架构.md	155	Batch-Only
REVIEW	数据架构.md	228	交易信号/风控
REVIEW	数据架构.md	272	Observability
REVIEW	数据架构.md	272	Freshness
REVIEW	数据架构.md	283	Degrade
REVIEW	数据架构.md	283	Repair
REVIEW	数据架构.md	292	Passive
REVIEW	数据架构.md	2988	Command
REVIEW	数据架构.md	3008	Query
REVIEW	学习系统架构.md	141	不做试运行闭环 | 覆盖S2~S5
REVIEW	学习系统架构.md	141	因子方向
REVIEW	学习系统架构.md	142	不做元学习 | 覆盖S4
REVIEW	学习系统架构.md	142	因子代码生成
REVIEW	学习系统架构.md	143	不做元学习 | 覆盖S2~S4
REVIEW	学习系统架构.md	143	因子辩论
REVIEW	学习系统架构.md	143	本系统辩论式因子精炼需对齐
REVIEW	学习系统架构.md	144	不做模块工厂 | 覆盖S4~S5
REVIEW	学习系统架构.md	144	策略开发+优化
REVIEW	学习系统架构.md	144	策略-部署解耦需对齐
REVIEW	学习系统架构.md	145	不做模块工厂 | 覆盖S4
REVIEW	学习系统架构.md	146	不做元学习 | 覆盖S3~S5
REVIEW	学习系统架构.md	146	7层Agent层次远超本系统S3映射
REVIEW	学习系统架构.md	146	S3需对齐7层架构 |
REVIEW	学习系统架构.md	147	经验记忆和Phase 2验证是亮点
REVIEW	学习系统架构.md	148	不做元学习 | 覆盖S5~S6
REVIEW	学习系统架构.md	149	全栈量化平台
REVIEW	学习系统架构.md	149	不做模块工厂 | 覆盖S5风控+部署
REVIEW	学习系统架构.md	149	延迟分层和4级风控远超本系统
REVIEW	学习系统架构.md	149	延迟分层裁定❌ |
REVIEW	学习系统架构.md	2765	7层Agent层次远超本系统S3的简单映射
REVIEW	学习系统架构.md	2766	预测力+正交性
REVIEW	学习系统架构.md	2766	检索+规范化+准入后验证
REVIEW	学习系统架构.md	2766	经验记忆和Phase 2验证通道是亮点
REVIEW	学习系统架构.md	2767	weight-centric
REVIEW	学习系统架构.md	2767	可组合策略管线
REVIEW	学习系统架构.md	2768	orders/s
REVIEW	学习系统架构.md	2768	延迟分层和4级风控决策远超本系统
REVIEW	集成架构.md	201	Kill-Switch
