draft	line	ctx	term	class	bm_hits
运维架构.md	508	heading	Instant	COVERED	1
运维架构.md	508	heading	Validation	COVERED	91
运维架构.md	508	heading	Quick	COVERED	1
运维架构.md	508	heading	Correction	COVERED	5
运维架构.md	508	heading	Model	COVERED	131
运维架构.md	762	heading	C-008	EXCL_DOMAIN	0
运维架构.md	896	heading	Knight	EXCL_DOMAIN	0
运维架构.md	919	heading	Circuit	COVERED	4
运维架构.md	919	heading	Breaker	COVERED	4
运维架构.md	953	heading	Systemic	COVERED	12
运维架构.md	953	heading	Risk	COVERED	339
运维架构.md	953	heading	Tiered	COVERED	5
运维架构.md	953	heading	Alert	COVERED	23
运维架构.md	953	heading	Tail	COVERED	9
运维架构.md	953	heading	Management	COVERED	61
运维架构.md	998	heading	Open	COVERED	27
运维架构.md	998	heading	Position	COVERED	132
运维架构.md	998	heading	Problem	EXCL_DOMAIN	0
运维架构.md	1902	heading	for	EXCL_GENERIC	0
合规架构.md	129	box	CL0	EXCL_DOMAIN	0
合规架构.md	130	box	CN-001	EXCL_DOMAIN	0
合规架构.md	130	box	INT-001	COVERED	1
合规架构.md	135	box	CL1	EXCL_DOMAIN	0
合规架构.md	136	box	Git	EXCL_GENERIC	0
合规架构.md	136	box	DSL	COVERED	8
合规架构.md	136	box	Pydantic	EXCL_DOMAIN	0
合规架构.md	136	box	JSON	EXCL_GENERIC	0
合规架构.md	137	box	Hard	COVERED	47
合规架构.md	137	box	Block	COVERED	32
合规架构.md	137	box	Soft	COVERED	5
合规架构.md	137	box	Warning	COVERED	26
合规架构.md	144	box	CL2-A	EXCL_DOMAIN	0
合规架构.md	144	box	CL2-B	EXCL_DOMAIN	0
合规架构.md	144	box	CL2-C	EXCL_DOMAIN	0
合规架构.md	144	box	CL2-D	EXCL_DOMAIN	0
合规架构.md	148	box	SHAP	COVERED	2
合规架构.md	151	box	Kill	COVERED	135
合规架构.md	151	box	Switch	COVERED	136
合规架构.md	160	box	CL3	EXCL_DOMAIN	0
合规架构.md	161	box	C-004	COVERED	1
合规架构.md	162	box	Pre	COVERED	124
合规架构.md	167	box	CL4	EXCL_DOMAIN	0
合规架构.md	169	box	ZKP	EXCL_DOMAIN	0
合规架构.md	170	box	Parquet	EXCL_GENERIC	0
合规架构.md	171	box	Crypto	EXCL_DOMAIN	0
合规架构.md	171	box	Phase	EXCL_GENERIC	0
合规架构.md	172	box	Neo4j	COVERED	3
合规架构.md	177	box	CL5	EXCL_DOMAIN	0
合规架构.md	179	box	GATE	COVERED	45
合规架构.md	179	box	zk-SNARK	EXCL_DOMAIN	0
合规架构.md	181	box	zk-STARK	EXCL_DOMAIN	0
合规架构.md	192	box	GATE-006	EXCL_XREF	0
合规架构.md	193	box	RegTech/SBOM	EXCL_DOMAIN	0
合规架构.md	194	box	AML/KYC	COVERED	4
合规架构.md	208	box	Compliance	COVERED	61
合规架构.md	208	box	Flow	COVERED	261
合规架构.md	208	box	Panorama	COVERED	13
合规架构.md	221	box	Sequential	EXCL_DOMAIN	0
合规架构.md	221	box	Evaluation	COVERED	16
合规架构.md	235	box	Spoofing	COVERED	9
合规架构.md	235	box	CL2	EXCL_DOMAIN	0
合规架构.md	236	box	Layering	COVERED	5
合规架构.md	237	box	Wash	COVERED	10
合规架构.md	238	box	C-002	COVERED	1
合规架构.md	238	box	Trade	COVERED	81
合规架构.md	288	box	Post	COVERED	12
合规架构.md	297	box	SHA-256	EXCL_DOMAIN	0
合规架构.md	299	box	Ph0	EXCL_DOMAIN	0
合规架构.md	303	box	AES	EXCL_DOMAIN	0
合规架构.md	304	box	SQLite/Parquet	EXCL_DOMAIN	0
合规架构.md	304	box	Crypto-Shredding	EXCL_DOMAIN	0
合规架构.md	344	box	ESRB	EXCL_DOMAIN	0
合规架构.md	352	box	GATE-003	EXCL_XREF	0
合规架构.md	524	heading	Coordinated	COVERED	1
合规架构.md	524	heading	Trading	COVERED	94
合规架构.md	524	heading	Detection	COVERED	63
合规架构.md	524	heading	Model	COVERED	131
合规架构.md	578	heading	Information	COVERED	8
合规架构.md	578	heading	Asymmetry	COVERED	1
合规架构.md	578	heading	Period	COVERED	12
合规架构.md	578	heading	Manipulation	COVERED	1
合规架构.md	859	heading	Conformal	COVERED	9
合规架构.md	859	heading	Prediction	COVERED	26
合规架构.md	1659	heading	AML	COVERED	23
Agent架构.md	70	box	Agent	COVERED	150
Agent架构.md	74	box	Strategic	EXCL_DOMAIN	0
Agent架构.md	74	box	Layer	COVERED	28
Agent架构.md	74	box	LLM	EXCL_GENERIC	0
Agent架构.md	74	box	API	EXCL_GENERIC	0
Agent架构.md	77	box	Orchestr	COVERED	13
Agent架构.md	77	box	Research	COVERED	245
Agent架构.md	77	box	Attribut	COVERED	23
Agent架构.md	77	box	RiskMgr	EXCL_DOMAIN	0
Agent架构.md	78	box	C-007	COVERED	1
Agent架构.md	78	box	C-031	COVERED	1
Agent架构.md	78	box	C-006	COVERED	1
Agent架构.md	78	box	C-016	COVERED	1
Agent架构.md	78	box	C-024	COVERED	1
Agent架构.md	78	box	C-010	COVERED	1
Agent架构.md	78	box	C-030	COVERED	1
Agent架构.md	78	box	C-004	COVERED	1
Agent架构.md	78	box	C-032	COVERED	1
Agent架构.md	82	box	Bus	COVERED	5
Agent架构.md	86	box	Tactical	EXCL_DOMAIN	0
Agent架构.md	89	box	SignalGen	EXCL_DOMAIN	0
Agent架构.md	89	box	Timer	EXCL_DOMAIN	0
Agent架构.md	89	box	RegimeDet	EXCL_DOMAIN	0
Agent架构.md	89	box	DayTrade	EXCL_DOMAIN	0
Agent架构.md	90	box	C-028	COVERED	1
Agent架构.md	90	box	C-009	COVERED	1
Agent架构.md	90	box	C-012	COVERED	1
Agent架构.md	90	box	C-013	COVERED	1
Agent架构.md	90	box	C-021	COVERED	1
Agent架构.md	98	box	Execution	COVERED	57
Agent架构.md	101	box	Executor	EXCL_DOMAIN	0
Agent架构.md	101	box	SOR	COVERED	36
Agent架构.md	101	box	Monitor	COVERED	55
Agent架构.md	102	box	C-002	COVERED	1
Agent架构.md	102	box	C-026	COVERED	1
Agent架构.md	102	box	C-046	COVERED	1
Agent架构.md	102	box	C-008	EXCL_DOMAIN	0
Agent架构.md	102	box	C-015	COVERED	1
Agent架构.md	108	box	miniQMT	COVERED	45
Agent架构.md	113	box	OPA	EXCL_DOMAIN	0
Agent架构.md	113	box	MVP	EXCL_DOMAIN	0
Agent架构.md	113	box	YAML	COVERED	12
Agent架构.md	113	box	if-else	EXCL_DOMAIN	0
Agent架构.md	113	box	GP-001	EXCL_DOMAIN	0
Agent架构.md	113	box	NeMo	EXCL_DOMAIN	0
Agent架构.md	113	box	Guardrails	COVERED	1
Agent架构.md	114	box	OWASP	COVERED	7
Agent架构.md	114	box	ASI01	COVERED	1
Agent架构.md	119	box	Level	EXCL_GENERIC	0
Agent架构.md	120	box	immutable	COVERED	2
Agent架构.md	126	box	Stage1	EXCL_DOMAIN	0
Agent架构.md	126	box	Stage2	COVERED	1
Agent架构.md	126	box	Stage3	EXCL_DOMAIN	0
Agent架构.md	127	box	Qwen2.5-7B	EXCL_DOMAIN	0
Agent架构.md	127	box	DeepSeek-7B	EXCL_DOMAIN	0
Agent架构.md	127	box	DeepSeek	COVERED	4
Agent架构.md	127	box	Pro/GLM-5.1/Claude	EXCL_DOMAIN	0
Agent架构.md	128	box	cache	COVERED	13
Agent架构.md	133	box	Redis	EXCL_GENERIC	0
Agent架构.md	133	box	SQLite	COVERED	9
Agent架构.md	133	box	Parquet	EXCL_GENERIC	0
Agent架构.md	133	box	SKILL.md	EXCL_DOMAIN	0
Agent架构.md	138	box	Actor-Evaluator-SelfReflection	EXCL_DOMAIN	0
Agent架构.md	144	box	SysDeg-0	EXCL_DOMAIN	0
Agent架构.md	144	box	LLMDeg-0	EXCL_DOMAIN	0
Agent架构.md	149	box	OpenTelemetry	EXCL_GENERIC	0
Agent架构.md	149	box	GAAT	EXCL_DOMAIN	0
Agent架构.md	150	box	Traces	EXCL_DOMAIN	0
Agent架构.md	150	box	Metrics	COVERED	35
Agent架构.md	150	box	Logs	EXCL_DOMAIN	0
Agent架构.md	151	box	Microsoft	EXCL_DOMAIN	0
Agent架构.md	157	box	MASEval	EXCL_DOMAIN	0
Agent架构.md	157	box	TSR	EXCL_DOMAIN	0
Agent架构.md	163	box	SKILL	COVERED	3
Agent架构.md	163	box	Discovery	COVERED	31
Agent架构.md	163	box	Activation	EXCL_DOMAIN	0
Agent架构.md	164	box	Prompt	EXCL_DOMAIN	0
Agent架构.md	168	box	Card	COVERED	8
Agent架构.md	175	box	D-ALT-DATA	EXCL_XREF	0
Agent架构.md	175	box	D-CROSS-ASSET	EXCL_XREF	0
Agent架构.md	175	box	D-COMPLIANCE	EXCL_XREF	0
Agent架构.md	175	box	D-TRADING	EXCL_XREF	0
Agent架构.md	175	box	D-FRONTEND	EXCL_XREF	0
Agent架构.md	186	box	Unified	COVERED	3
Agent架构.md	186	box	Collaboration	COVERED	16
Agent架构.md	186	box	Flow	COVERED	261
Agent架构.md	213	box	Orchestrator	COVERED	3
Agent架构.md	216	box	Pro/GLM-5.1	EXCL_DOMAIN	0
Agent架构.md	224	box	Researcher	EXCL_DOMAIN	0
Agent架构.md	224	box	Attributor	EXCL_DOMAIN	0
Agent架构.md	272	box	Risk	COVERED	339
Agent架构.md	272	box	Manager	COVERED	55
Agent架构.md	329	box	Agent-R	EXCL_DOMAIN	0
Agent架构.md	485	heading	Hi-DARTS/TAQUANT/ContestTrade/AGENTICAITA/QuantAgent/HedgeAgents/MAN	EXCL_DOMAIN	0
Agent架构.md	499	heading	Decision	COVERED	134
Agent架构.md	499	heading	Tree	COVERED	1
Agent架构.md	499	heading	Trading	COVERED	94
Agent架构.md	499	heading	Architecture	COVERED	53
Agent架构.md	547	heading	Dynamic	COVERED	2
Agent架构.md	547	heading	Signal	COVERED	189
Agent架构.md	547	heading	Weighting	COVERED	4
Agent架构.md	547	heading	via	EXCL_GENERIC	0
Agent架构.md	547	heading	Bayesian	COVERED	3
Agent架构.md	547	heading	Model	COVERED	131
Agent架构.md	547	heading	Averaging	COVERED	1
Agent架构.md	794	heading	JSON-RPC	EXCL_DOMAIN	0
Agent架构.md	794	heading	Task/Message/Part	EXCL_DOMAIN	0
Agent架构.md	966	heading	Circuit	COVERED	4
Agent架构.md	966	heading	Breaker	COVERED	4
Agent架构.md	1028	heading	Agentic	COVERED	3
Agent架构.md	1028	heading	Top	COVERED	59
Agent架构.md	1234	heading	HITL	COVERED	1
Agent架构.md	1277	heading	Act	COVERED	298
Agent架构.md	1277	heading	Article	EXCL_DOMAIN	0
Agent架构.md	1327	heading	tokens	EXCL_DOMAIN	0
Agent架构.md	1347	heading	references/scripts	EXCL_DOMAIN	0
Agent架构.md	1442	heading	Reflexion	COVERED	1
Agent架构.md	1446	heading	Actor-Evaluator	EXCL_DOMAIN	0
Agent架构.md	1814	heading	CSCR	EXCL_DOMAIN	0
Agent架构.md	2054	heading	MultiAgentBench	EXCL_DOMAIN	0
Agent架构.md	2257	heading	LP-001	EXCL_XREF	0
Agent架构.md	2269	heading	LP-002	EXCL_XREF	0
Agent架构.md	2269	heading	RAG	COVERED	22
Agent架构.md	2281	heading	LP-003	EXCL_XREF	0
Agent架构.md	2293	heading	LP-004	EXCL_XREF	0
Agent架构.md	2305	heading	LP-005	EXCL_XREF	0
Agent架构.md	2317	heading	LP-006	EXCL_XREF	0
Agent架构.md	2329	heading	LP-007	EXCL_XREF	0
Agent架构.md	2347	heading	LP-008	EXCL_XREF	0
Agent架构.md	2360	heading	LP-009	EXCL_XREF	0
Agent架构.md	2360	heading	PreFlect	EXCL_DOMAIN	0
Agent架构.md	2370	heading	LP-010	EXCL_XREF	0
Agent架构.md	2370	heading	DID	COVERED	293
Agent架构.md	2370	heading	Ed25519	EXCL_DOMAIN	0
Agent架构.md	2380	heading	LP-011	EXCL_XREF	0
Agent架构.md	2380	heading	ContestTrade	EXCL_DOMAIN	0
Agent架构.md	2390	heading	LP-012	EXCL_XREF	0
Agent架构.md	2390	heading	Neo4j/Graphiti	EXCL_DOMAIN	0
Agent架构.md	2400	heading	LP-013	EXCL_XREF	0
Agent架构.md	2410	heading	LP-014	EXCL_XREF	0
Agent架构.md	2410	heading	MCP	COVERED	8
Agent架构.md	2420	heading	LP-015	EXCL_XREF	0
Agent架构.md	2430	heading	LP-016	EXCL_XREF	0
Agent架构.md	2440	heading	LP-017	EXCL_XREF	0
Agent架构.md	2450	heading	LP-018	EXCL_XREF	0
Agent架构.md	2460	heading	LP-019	EXCL_XREF	0
Agent架构.md	2470	heading	LP-020	EXCL_XREF	0
Agent架构.md	2480	heading	LP-021	EXCL_XREF	0
交易决策架构.md	21	upgrade	v3.3引入密度预测/分布特征工程	TRIAGE	0
交易决策架构.md	21	upgrade	v3.4引入8态预测/密度预测增强	TRIAGE	0
交易决策架构.md	104	box	C-001	COVERED	1
交易决策架构.md	105	upgrade	miniQMT	COVERED	45
交易决策架构.md	105	upgrade	iFind	COVERED	19
交易决策架构.md	107	upgrade	GBM-Diffusion	COVERED	2
交易决策架构.md	107	upgrade	A股数据增强	COVERED	1
交易决策架构.md	111	box	C-027	COVERED	1
交易决策架构.md	111	box	C-009	COVERED	1
交易决策架构.md	114	upgrade	in-Time	COVERED	7
交易决策架构.md	114	upgrade	Serving	COVERED	21
交易决策架构.md	114	upgrade	API	EXCL_GENERIC	0
交易决策架构.md	115	upgrade	Feature	COVERED	25
交易决策架构.md	115	upgrade	True	EXCL_GENERIC	0
交易决策架构.md	115	upgrade	🆕v8.1 UFL确定性事实层	COVERED	1
交易决策架构.md	116	upgrade	替代QNN中MLP层	TRIAGE	0
交易决策架构.md	117	upgrade	DoWhy/DML	COVERED	6
交易决策架构.md	117	upgrade	🆕v8.0因果因子验证层	TRIAGE	0
交易决策架构.md	118	upgrade	🆕v8.2 FactorMAD投票因子挖掘	TRIAGE	0
交易决策架构.md	118	upgrade	3-5 Agent投票→选最优因子	COVERED	1
交易决策架构.md	125	box	C-028	COVERED	1
交易决策架构.md	125	box	C-011	COVERED	1
交易决策架构.md	125	box	C-034	COVERED	1
交易决策架构.md	125	box	C-021	COVERED	1
交易决策架构.md	125	box	C-014	COVERED	1
交易决策架构.md	125	box	C-039	COVERED	1
交易决策架构.md	126	box	C-035	COVERED	1
交易决策架构.md	126	box	C-036	COVERED	1
交易决策架构.md	128	box	HMM	COVERED	25
交易决策架构.md	134	upgrade	密度预测	COVERED	62
交易决策架构.md	135	upgrade	Transformer	COVERED	3
交易决策架构.md	136	upgrade	Survival	COVERED	18
交易决策架构.md	136	upgrade	Analysis	COVERED	29
交易决策架构.md	136	upgrade	时序增强	COVERED	2
交易决策架构.md	137	upgrade	Mamba	COVERED	4
交易决策架构.md	141	upgrade	Kronos	COVERED	9
交易决策架构.md	142	box	mini/base	COVERED	4
交易决策架构.md	145	upgrade	🆕共形预测	TRIAGE	0
交易决策架构.md	148	upgrade	TCP	COVERED	15
交易决策架构.md	149	box	RM/DDCI	COVERED	8
交易决策架构.md	165	box	C-016	COVERED	1
交易决策架构.md	167	upgrade	🆕事件驱动分布筛选	TRIAGE	0
交易决策架构.md	167	upgrade	§13第四层	EXCL_XREF	0
交易决策架构.md	168	upgrade	RGCN/TGN	COVERED	2
交易决策架构.md	169	upgrade	Causal	COVERED	25
交易决策架构.md	171	upgrade	GNN推理=ML工厂	TRIAGE	0
交易决策架构.md	175	upgrade	Discovery	COVERED	31
交易决策架构.md	175	upgrade	🆕v7.0 轨道2：数据驱动轨	TRIAGE	0
交易决策架构.md	178	box	GFlowNet	COVERED	2
交易决策架构.md	185	upgrade	Human	COVERED	5
交易决策架构.md	185	upgrade	Override	COVERED	5
交易决策架构.md	185	upgrade	🆕v8.0 轨道3：人工指令轨	TRIAGE	0
交易决策架构.md	186	box	C-013	COVERED	1
交易决策架构.md	189	box	C-043	COVERED	1
交易决策架构.md	194	upgrade	Emergency	COVERED	21
交易决策架构.md	194	upgrade	🆕v8.0 轨道4：应急保命轨	TRIAGE	0
交易决策架构.md	209	box	C-006	COVERED	1
交易决策架构.md	209	box	C-005	COVERED	1
交易决策架构.md	209	box	C-012	COVERED	1
交易决策架构.md	211	box	GP/SR	COVERED	1
交易决策架构.md	218	box	FactorMAD	COVERED	7
交易决策架构.md	219	box	D-Agent	EXCL_XREF	0
交易决策架构.md	225	upgrade	Strategy	COVERED	81
交易决策架构.md	225	upgrade	Convergence	COVERED	1
交易决策架构.md	225	upgrade	Fusion	COVERED	63
交易决策架构.md	225	upgrade	🆕v7.0 多策略共振融合层	TRIAGE	0
交易决策架构.md	229	upgrade	Model-Free	COVERED	8
交易决策架构.md	229	upgrade	Factor	COVERED	203
交易决策架构.md	229	upgrade	🆕v7.0 因子直通层	TRIAGE	0
交易决策架构.md	232	upgrade	🆕筛选漏斗6层	TRIAGE	0
交易决策架构.md	234	box	D-PF-CORE/D-PF-ALLOC	EXCL_XREF	0
交易决策架构.md	235	box	C-042	COVERED	1
交易决策架构.md	238	upgrade	Copula	COVERED	7
交易决策架构.md	239	upgrade	🆕RL增强	COVERED	1
交易决策架构.md	239	upgrade	组合优化/做T时机学习	TRIAGE	0
交易决策架构.md	244	upgrade	Multi-Track	COVERED	1
交易决策架构.md	244	upgrade	🆕v8.0 四轨融合器	TRIAGE	0
交易决策架构.md	249	box	C-002	COVERED	1
交易决策架构.md	254	upgrade	Decision	COVERED	134
交易决策架构.md	254	upgrade	Orchestrator	COVERED	3
交易决策架构.md	260	box	D-SELL	EXCL_XREF	0
交易决策架构.md	261	box	C-047	COVERED	1
交易决策架构.md	261	box	C-004	COVERED	1
交易决策架构.md	261	box	DecisionOrder	COVERED	1
交易决策架构.md	265	upgrade	D-POSITION	EXCL_XREF	0
交易决策架构.md	265	upgrade	🆕 L3.5 仓位管理层	TRIAGE	0
交易决策架构.md	268	box	D-PF	EXCL_XREF	0
交易决策架构.md	277	upgrade	🆕v8.0执行策略选择器	TRIAGE	0
交易决策架构.md	278	box	TWAP/VWAP/IS/POV	COVERED	1
交易决策架构.md	280	box	C-040	COVERED	1
交易决策架构.md	281	upgrade	CVaR	COVERED	23
交易决策架构.md	282	upgrade	C-046	COVERED	1
交易决策架构.md	282	upgrade	TCA	COVERED	64
交易决策架构.md	282	upgrade	覆盖率数学保证	TRIAGE	0
交易决策架构.md	283	box	C-045	COVERED	1
交易决策架构.md	283	box	C-026	COVERED	1
交易决策架构.md	284	upgrade	+流动性风险监控	TRIAGE	0
交易决策架构.md	285	upgrade	Chriss	COVERED	18
交易决策架构.md	285	upgrade	+相关性体制监控	COVERED	1
交易决策架构.md	285	upgrade	增强Almgren-Chriss	COVERED	1
交易决策架构.md	286	upgrade	VPIN	COVERED	2
交易决策架构.md	286	upgrade	🆕v8.2 C-045深度增强	COVERED	1
交易决策架构.md	289	box	B-006	COVERED	1
交易决策架构.md	294	box	C-007	COVERED	1
交易决策架构.md	294	box	C-022	COVERED	1
交易决策架构.md	294	box	C-041	COVERED	1
交易决策架构.md	295	box	C-010	COVERED	1
交易决策架构.md	297	upgrade	CRPS	COVERED	7
交易决策架构.md	297	upgrade	🆕密度预测偏差反馈	COVERED	1
交易决策架构.md	298	upgrade	🆕漂移检测三闭环	COVERED	2
交易决策架构.md	299	upgrade	EWC	COVERED	29
交易决策架构.md	299	upgrade	🆕v6.0 持续学习抗遗忘	TRIAGE	0
