relative_path,action
docs/03_modules/_cross_layer/feedback_loop/changelog.md,update_ttl_only
docs/03_modules/_cross_layer/mcp_servers/runbook.md,update_ttl_only
docs/03_modules/_cross_layer/context_engine/changes/index.md,update_ttl_only
docs/03_modules/_cross_layer/context_engine/changes/MOD_INF_008/index.md,update_ttl_only
docs/03_modules/_cross_layer/database/changes/index.md,update_ttl_only
docs/03_modules/_cross_layer/database/changes/MOD_INF_012/index.md,update_ttl_only
docs/03_modules/_cross_layer/feedback_loop/changes/index.md,update_ttl_only
docs/03_modules/_cross_layer/feedback_loop/changes/MOD_INF_010/index.md,update_ttl_only
docs/03_modules/_cross_layer/gate_engine/changes/index.md,update_ttl_only
docs/03_modules/_cross_layer/gate_engine/changes/MOD_INF_007/index.md,update_ttl_only
docs/03_modules/_cross_layer/llm_security/changes/index.md,update_ttl_only
docs/03_modules/_cross_layer/llm_security/changes/MOD_INF_014/index.md,update_ttl_only
docs/03_modules/_cross_layer/mcp_servers/changes/index.md,update_ttl_only
docs/03_modules/_cross_layer/mcp_servers/changes/mod_inf_013/audit_report.md,update_ttl_only
docs/03_modules/_cross_layer/mcp_servers/changes/mod_inf_013/index.md,update_ttl_only
docs/03_modules/_cross_layer/orphan_judge/delivery/index.md,update_ttl_only
docs/03_modules/_cross_layer/orphan_judge/delivery/version_1_0_0.md,update_ttl_only
docs/03_modules/_cross_layer/pipeline/changes/index.md,update_ttl_only
docs/03_modules/_cross_layer/pipeline/changes/MOD_INF_009/index.md,update_ttl_only
docs/03_modules/_cross_layer/resource_optimization_engine/changes/index.md,update_ttl_only
docs/03_modules/_cross_layer/resource_optimization_engine/changes/MOD_INF_032/index.md,update_ttl_only
docs/03_modules/_cross_layer/shared_core/changes/index.md,update_ttl_only
docs/03_modules/_cross_layer/shared_core/changes/MOD_INF_016/index.md,update_ttl_only
docs/03_modules/_domain_autonomy_core/agent_spec/changelog.md,update_ttl_only
docs/03_modules/_domain_autonomy_core/task_card_kms/delivery/index.md,update_ttl_only
docs/03_modules/_domain_compliance/compliance_core/delivery/index.md,update_ttl_only
docs/03_modules/_domain_data/datasource_core/delivery/index.md,update_ttl_only
docs/03_modules/_domain_ex_core/execution_core/delivery/index.md,update_ttl_only
docs/03_modules/_domain_factor/alpha_factor_core/delivery/index.md,update_ttl_only
docs/03_modules/_domain_frontend/hmi_core/delivery/index.md,update_ttl_only
docs/03_modules/_domain_governance/changes/index.md,update_ttl_only
docs/03_modules/_domain_governance/changes/dom_gov_001/completeness_report.md,update_ttl_only
docs/03_modules/_domain_governance/changes/dom_gov_001/dependency_crosscheck.md,update_ttl_only
docs/03_modules/_domain_governance/changes/dom_gov_001/downstream_anchor_report.md,update_ttl_only
docs/03_modules/_domain_governance/changes/dom_gov_001/index.md,update_ttl_only
docs/03_modules/_domain_governance/governance_automation/delivery/index.md,update_ttl_only
docs/03_modules/_domain_governance/vibe_coding_pipelines/delivery/index.md,update_ttl_only
docs/03_modules/_domain_infra_ops/capacity_assurance/changes/index.md,update_ttl_only
docs/03_modules/_domain_infra_ops/capacity_assurance/delivery/index.md,update_ttl_only
docs/03_modules/_domain_infra_ops/capacity_assurance/changes/MOD_INF_001/index.md,update_ttl_only
docs/03_modules/_domain_infra_runtime/runtime_integration/delivery/index.md,update_ttl_only
docs/03_modules/_domain_infra_runtime/task_system/changes/index.md,update_ttl_only
docs/03_modules/_domain_infra_runtime/task_system/changes/MOD_INF_006_MCP/index.md,update_ttl_only
docs/03_modules/_domain_infra_runtime/task_system/changes/shadows/index.md,update_ttl_only
docs/03_modules/_domain_ml_train/ml_core/delivery/index.md,update_ttl_only
docs/03_modules/_domain_pf_core/portfolio_core/delivery/index.md,update_ttl_only
docs/03_modules/_domain_reporting/analytics_core/delivery/index.md,update_ttl_only
docs/03_modules/_domain_research/research_core/delivery/index.md,update_ttl_only
docs/03_modules/_domain_risk/risk_management_core/delivery/index.md,update_ttl_only
docs/03_modules/_domain_signal/signal_generation_core/delivery/index.md,update_ttl_only
docs/03_modules/_domain_simulation/experiment_core/delivery/index.md,update_ttl_only
docs/03_modules/_master_blueprint/changes/index.md,update_ttl_only
docs/03_modules/_master_blueprint/changes/MOD_MASTER_001/index.md,update_ttl_only
docs/03_modules/_master_blueprint/changes/MOD_MASTER_001/readme.md,update_ttl_only
docs/03_modules/_sys_master/changes/index.md,update_ttl_only
docs/03_modules/_sys_master/changes/sys_master_001/index.md,update_ttl_only
docs/09_audit/research_notes/all_blueprint_structure_audit_overview.md,update_ttl_only
docs/09_audit/research_notes/blueprint_discussion_audit_division_plan.md,update_ttl_only
docs/09_audit/research_notes/index.md,update_ttl_only
docs/09_audit/research_notes/naming_whitelist_cleanup_plan.md,update_ttl_only
docs/09_audit/research_notes/physical_structure_1500_module_scalability_fix.md,update_ttl_only
docs/09_audit/research_notes/three_principles_implementation_research.md,update_ttl_only
docs/09_audit/research_notes/competitive_analysis/architecture_blindspot_analysis.md,update_ttl_only
docs/09_audit/research_notes/competitive_analysis/ballethip_raw_material_visual_log.md,update_ttl_only
docs/09_audit/research_notes/competitive_analysis/ballethip_system_comparison.md,update_ttl_only
docs/09_audit/research_notes/competitive_analysis/index.md,update_ttl_only
docs/09_audit/research_notes/competitive_analysis/observability_contract_todo.md,update_ttl_only
docs/09_audit/research_notes/technical_feasibility/index.md,update_ttl_only
docs/09_audit/research_notes/technical_feasibility/vibe_coding_ai_implementation_assessment.md,update_ttl_only
docs/decomposition/tasks/DM-100252.md,update_ttl_only
docs/decomposition/tasks/DM-100253.md,update_ttl_only
docs/decomposition/tasks/DM-100254.md,update_ttl_only
docs/decomposition/tasks/DM-100255.md,update_ttl_only
docs/decomposition/tasks/index.md,update_ttl_only
docs/_working/ghost_commit_automation_assessment.md,already_working
docs/_working/ghost_commit_rule_update_proposal.md,already_working
docs/_working/inward_convergence_audit_report_20260626.md,already_working
docs/_working/trae_060_s5_evidence_audit.md,already_working
docs/_working/ttl_doctype_reclassification_handoff.md,already_working
docs/_working/ttl_missing_root_cause_investigation_report.md,already_working
