panel,signal,fwd,window,regime,metric,value,ic_mean,ic_ir,ic_t,n_obs,n_days,pct_pos,power,note
news,news_sent,f5,FULL(2026-02..09),high_only(2026-02..09),xsec_ic,-0.0330537983234191,-0.0330537983234191,-0.2394422843649702,-2.296649710743065,,92,0.4021739130434782,LOW,"night window (d 18:00 -> d+1 08:00), decision at d+1; intra = d+1 open->close"
news,news_sent,intra,FULL(2026-02..09),high_only(2026-02..09),xsec_ic,0.2623153969845723,0.2623153969845723,1.2747503470756496,12.22697579771846,,92,0.9021739130434784,LOW,"night window (d 18:00 -> d+1 08:00), decision at d+1; intra = d+1 open->close"
research,rpt_cov_chg,f5,IS,all,xsec_ic,-0.00578,-0.00578,-0.095,-2.943,960.0,,0.4479,HIGH,"metadata-only (body not migrated); rating 1-5 score, cov=20d log-report-count delta, eps_rev=fy1 20d vs prior 40d"
research,rpt_cov_chg,f5,OOS,all,xsec_ic,-0.00256,-0.00256,-0.036,-0.785,476.0,,0.4853,MED,"metadata-only (body not migrated); rating 1-5 score, cov=20d log-report-count delta, eps_rev=fy1 20d vs prior 40d"
research,rpt_cov_chg,f10,IS,all,xsec_ic,-0.00627,-0.00627,-0.0984,-3.05,960.0,,0.45,HIGH,"metadata-only (body not migrated); rating 1-5 score, cov=20d log-report-count delta, eps_rev=fy1 20d vs prior 40d"
research,rpt_cov_chg,f10,OOS,all,xsec_ic,-0.00694,-0.00694,-0.1072,-2.339,476.0,,0.458,MED,"metadata-only (body not migrated); rating 1-5 score, cov=20d log-report-count delta, eps_rev=fy1 20d vs prior 40d"
research,rpt_cov_chg,f20,IS,all,xsec_ic,-0.00789,-0.00789,-0.1273,-3.941,959.0,,0.4494,HIGH,"metadata-only (body not migrated); rating 1-5 score, cov=20d log-report-count delta, eps_rev=fy1 20d vs prior 40d"
research,rpt_cov_chg,f20,OOS,all,xsec_ic,-0.01127,-0.01127,-0.1669,-3.641,476.0,,0.4769,MED,"metadata-only (body not migrated); rating 1-5 score, cov=20d log-report-count delta, eps_rev=fy1 20d vs prior 40d"
research,rpt_rating,f5,IS,all,xsec_ic,0.00349,0.00349,0.0447,1.383,956.0,,0.5272,HIGH,"metadata-only (body not migrated); rating 1-5 score, cov=20d log-report-count delta, eps_rev=fy1 20d vs prior 40d"
research,rpt_rating,f5,OOS,all,xsec_ic,0.01298,0.01298,0.1602,3.488,474.0,,0.5232,MED,"metadata-only (body not migrated); rating 1-5 score, cov=20d log-report-count delta, eps_rev=fy1 20d vs prior 40d"
research,rpt_rating,f10,IS,all,xsec_ic,0.00546,0.00546,0.071,2.195,956.0,,0.522,HIGH,"metadata-only (body not migrated); rating 1-5 score, cov=20d log-report-count delta, eps_rev=fy1 20d vs prior 40d"
research,rpt_rating,f10,OOS,all,xsec_ic,0.01412,0.01412,0.1666,3.607,469.0,,0.5394,MED,"metadata-only (body not migrated); rating 1-5 score, cov=20d log-report-count delta, eps_rev=fy1 20d vs prior 40d"
research,rpt_rating,f20,IS,all,xsec_ic,0.00439,0.00439,0.0609,1.884,956.0,,0.523,HIGH,"metadata-only (body not migrated); rating 1-5 score, cov=20d log-report-count delta, eps_rev=fy1 20d vs prior 40d"
research,rpt_rating,f20,OOS,all,xsec_ic,0.01256,0.01256,0.1454,3.115,459.0,,0.5381,MED,"metadata-only (body not migrated); rating 1-5 score, cov=20d log-report-count delta, eps_rev=fy1 20d vs prior 40d"
research,rpt_eps_rev,f5,IS,all,xsec_ic,0.00253,0.00253,0.0574,1.173,417.0,,0.518,HIGH,"metadata-only (body not migrated); rating 1-5 score, cov=20d log-report-count delta, eps_rev=fy1 20d vs prior 40d"
research,rpt_eps_rev,f5,OOS,all,xsec_ic,0.0011,0.0011,0.0241,0.348,209.0,,0.4928,MED,"metadata-only (body not migrated); rating 1-5 score, cov=20d log-report-count delta, eps_rev=fy1 20d vs prior 40d"
research,rpt_eps_rev,f10,IS,all,xsec_ic,0.00408,0.00408,0.0945,1.929,417.0,,0.518,HIGH,"metadata-only (body not migrated); rating 1-5 score, cov=20d log-report-count delta, eps_rev=fy1 20d vs prior 40d"
research,rpt_eps_rev,f10,OOS,all,xsec_ic,-0.00572,-0.00572,-0.1142,-1.651,209.0,,0.4641,MED,"metadata-only (body not migrated); rating 1-5 score, cov=20d log-report-count delta, eps_rev=fy1 20d vs prior 40d"
research,rpt_eps_rev,f20,IS,all,xsec_ic,0.00557,0.00557,0.1237,2.527,417.0,,0.5564,HIGH,"metadata-only (body not migrated); rating 1-5 score, cov=20d log-report-count delta, eps_rev=fy1 20d vs prior 40d"
research,rpt_eps_rev,f20,OOS,all,xsec_ic,-0.00226,-0.00226,-0.0437,-0.631,209.0,,0.4402,MED,"metadata-only (body not migrated); rating 1-5 score, cov=20d log-report-count delta, eps_rev=fy1 20d vs prior 40d"
hot,hot_rankchg,f1,"FULL(2026-08..09,29d)",high_only(2026-07..09),xsec_ic,0.0927523381075546,0.0927523381075546,0.632285754872708,2.965683069366804,,22,0.6818181818181818,LOW,"hot_rankchg=rank[t-1]-rank[t] within top100; lianban=consecutive limit runs (event xsec, min 20 names)"
hot,hot_toplevel,f1,"FULL(2026-08..09,29d)",high_only(2026-07..09),xsec_ic,0.0554945941091759,0.0554945941091759,0.3990730831209897,1.871818678392016,,22,0.6363636363636364,LOW,"hot_rankchg=rank[t-1]-rank[t] within top100; lianban=consecutive limit runs (event xsec, min 20 names)"
hot,hot_rankchg,f1,"FULL(2026-08..09,29d)",high_only(2026-07..09),xsec_ic,0.0664965254893757,0.0664965254893757,0.4168813843783698,1.9103904997318608,,21,0.6666666666666666,LOW,"hot_rankchg=rank[t-1]-rank[t] within top100; lianban=consecutive limit runs (event xsec, min 20 names)"
hot,hot_toplevel,f1,"FULL(2026-08..09,29d)",high_only(2026-07..09),xsec_ic,0.0218269495761421,0.0218269495761421,0.1271696334189099,0.5827644712419405,,21,0.6666666666666666,LOW,"hot_rankchg=rank[t-1]-rank[t] within top100; lianban=consecutive limit runs (event xsec, min 20 names)"
limit,lianban_up,f1,"FULL(2026-07..09,44d)",high_only(2026-07..09),xsec_ic,0.0784065614323784,0.0784065614323784,0.5204792880318896,3.4130109344415898,,43,0.7272727272727273,LOW,"hot_rankchg=rank[t-1]-rank[t] within top100; lianban=consecutive limit runs (event xsec, min 20 names)"
limit,lianban_down,f1,"FULL(2026-07..09,44d)",high_only(2026-07..09),xsec_ic,0.0666282870264889,0.0666282870264889,0.2427294950486237,0.8050426606287137,,11,0.5,LOW,"hot_rankchg=rank[t-1]-rank[t] within top100; lianban=consecutive limit runs (event xsec, min 20 names)"
macro_ts,bdi_mom20,f5,IS,all,ts_spearman,-0.05628,-0.05628,,,1214.0,,,HIGH,"time-series IC, non-xsec"
macro_ts,bdi_mom20,f5,OOS,all,ts_spearman,-0.02817,-0.02817,,,654.0,,,MED,"time-series IC, non-xsec"
macro_ts,bdi_mom20,f10,IS,all,ts_spearman,-0.03412,-0.03412,,,1214.0,,,HIGH,"time-series IC, non-xsec"
macro_ts,bdi_mom20,f10,OOS,all,ts_spearman,0.00455,0.00455,,,649.0,,,MED,"time-series IC, non-xsec"
macro_ts,bdi_mom20,f20,IS,all,ts_spearman,0.04334,0.04334,,,1214.0,,,HIGH,"time-series IC, non-xsec"
macro_ts,bdi_mom20,f20,OOS,all,ts_spearman,0.05032,0.05032,,,639.0,,,MED,"time-series IC, non-xsec"
macro_ts,bdi_mom20,f5,IS,low,ts_spearman,-0.03982,-0.03982,,,486.0,,,HIGH,"regime bucket, f5 only"
macro_ts,bdi_mom20,f5,OOS,low,ts_spearman,0.07485,0.07485,,,167.0,,,MED,"regime bucket, f5 only"
macro_ts,bdi_mom20,f5,IS,mid,ts_spearman,0.05612,0.05612,,,433.0,,,HIGH,"regime bucket, f5 only"
macro_ts,bdi_mom20,f5,OOS,mid,ts_spearman,-0.08008,-0.08008,,,249.0,,,MED,"regime bucket, f5 only"
macro_ts,bdi_mom20,f5,IS,high,ts_spearman,-0.21515,-0.21515,,,295.0,,,HIGH,"regime bucket, f5 only"
macro_ts,bdi_mom20,f5,OOS,high,ts_spearman,0.01085,0.01085,,,238.0,,,MED,"regime bucket, f5 only"
macro_ts,bdi_z60,f5,IS,all,ts_spearman,-0.03025,-0.03025,,,1214.0,,,HIGH,"time-series IC, non-xsec"
macro_ts,bdi_z60,f5,OOS,all,ts_spearman,0.03763,0.03763,,,654.0,,,MED,"time-series IC, non-xsec"
macro_ts,bdi_z60,f10,IS,all,ts_spearman,-0.03086,-0.03086,,,1214.0,,,HIGH,"time-series IC, non-xsec"
macro_ts,bdi_z60,f10,OOS,all,ts_spearman,0.08345,0.08345,,,649.0,,,MED,"time-series IC, non-xsec"
macro_ts,bdi_z60,f20,IS,all,ts_spearman,0.0051,0.0051,,,1214.0,,,HIGH,"time-series IC, non-xsec"
macro_ts,bdi_z60,f20,OOS,all,ts_spearman,0.17299,0.17299,,,639.0,,,MED,"time-series IC, non-xsec"
macro_ts,bdi_z60,f5,IS,low,ts_spearman,-0.05882,-0.05882,,,486.0,,,HIGH,"regime bucket, f5 only"
macro_ts,bdi_z60,f5,OOS,low,ts_spearman,0.25938,0.25938,,,167.0,,,MED,"regime bucket, f5 only"
macro_ts,bdi_z60,f5,IS,mid,ts_spearman,0.12793,0.12793,,,433.0,,,HIGH,"regime bucket, f5 only"
macro_ts,bdi_z60,f5,OOS,mid,ts_spearman,-0.06154,-0.06154,,,249.0,,,MED,"regime bucket, f5 only"
macro_ts,bdi_z60,f5,IS,high,ts_spearman,-0.19595,-0.19595,,,295.0,,,HIGH,"regime bucket, f5 only"
macro_ts,bdi_z60,f5,OOS,high,ts_spearman,0.06473,0.06473,,,238.0,,,MED,"regime bucket, f5 only"
macro_ts,bdti_mom20,f5,IS,all,ts_spearman,-0.08762,-0.08762,,,1214.0,,,HIGH,"time-series IC, non-xsec"
macro_ts,bdti_mom20,f5,OOS,all,ts_spearman,-0.03077,-0.03077,,,654.0,,,MED,"time-series IC, non-xsec"
macro_ts,bdti_mom20,f10,IS,all,ts_spearman,-0.09667,-0.09667,,,1214.0,,,HIGH,"time-series IC, non-xsec"
macro_ts,bdti_mom20,f10,OOS,all,ts_spearman,-0.01567,-0.01567,,,649.0,,,MED,"time-series IC, non-xsec"
macro_ts,bdti_mom20,f20,IS,all,ts_spearman,-0.09033,-0.09033,,,1214.0,,,HIGH,"time-series IC, non-xsec"
macro_ts,bdti_mom20,f20,OOS,all,ts_spearman,0.04034,0.04034,,,639.0,,,MED,"time-series IC, non-xsec"
macro_ts,bdti_mom20,f5,IS,low,ts_spearman,0.0269,0.0269,,,486.0,,,HIGH,"regime bucket, f5 only"
macro_ts,bdti_mom20,f5,OOS,low,ts_spearman,0.10748,0.10748,,,167.0,,,MED,"regime bucket, f5 only"
macro_ts,bdti_mom20,f5,IS,mid,ts_spearman,-0.2395,-0.2395,,,433.0,,,HIGH,"regime bucket, f5 only"
macro_ts,bdti_mom20,f5,OOS,mid,ts_spearman,-0.15451,-0.15451,,,249.0,,,MED,"regime bucket, f5 only"
macro_ts,bdti_mom20,f5,IS,high,ts_spearman,-0.08111,-0.08111,,,295.0,,,HIGH,"regime bucket, f5 only"
macro_ts,bdti_mom20,f5,OOS,high,ts_spearman,-0.03743,-0.03743,,,238.0,,,MED,"regime bucket, f5 only"
macro_ts,agri_mom20,f5,IS,all,ts_spearman,0.00723,0.00723,,,1214.0,,,HIGH,"time-series IC, non-xsec"
macro_ts,agri_mom20,f5,OOS,all,ts_spearman,0.03157,0.03157,,,654.0,,,MED,"time-series IC, non-xsec"
macro_ts,agri_mom20,f10,IS,all,ts_spearman,-0.03565,-0.03565,,,1214.0,,,HIGH,"time-series IC, non-xsec"
macro_ts,agri_mom20,f10,OOS,all,ts_spearman,0.0467,0.0467,,,649.0,,,MED,"time-series IC, non-xsec"
macro_ts,agri_mom20,f20,IS,all,ts_spearman,-0.11583,-0.11583,,,1214.0,,,HIGH,"time-series IC, non-xsec"
macro_ts,agri_mom20,f20,OOS,all,ts_spearman,0.11683,0.11683,,,639.0,,,MED,"time-series IC, non-xsec"
macro_ts,agri_mom20,f5,IS,low,ts_spearman,0.06505,0.06505,,,486.0,,,HIGH,"regime bucket, f5 only"
macro_ts,agri_mom20,f5,OOS,low,ts_spearman,0.25705,0.25705,,,167.0,,,MED,"regime bucket, f5 only"
macro_ts,agri_mom20,f5,IS,mid,ts_spearman,-0.08005,-0.08005,,,433.0,,,HIGH,"regime bucket, f5 only"
macro_ts,agri_mom20,f5,OOS,mid,ts_spearman,0.06195,0.06195,,,249.0,,,MED,"regime bucket, f5 only"
macro_ts,agri_mom20,f5,IS,high,ts_spearman,-0.01497,-0.01497,,,295.0,,,HIGH,"regime bucket, f5 only"
macro_ts,agri_mom20,f5,OOS,high,ts_spearman,0.02557,0.02557,,,238.0,,,MED,"regime bucket, f5 only"
macro_ts,cftc_goods_chg8w,f5,IS,all,ts_spearman,0.07428,0.07428,,,1214.0,,,HIGH,"time-series IC, non-xsec"
macro_ts,cftc_goods_chg8w,f5,OOS,all,ts_spearman,-0.00679,-0.00679,,,654.0,,,MED,"time-series IC, non-xsec"
macro_ts,cftc_goods_chg8w,f10,IS,all,ts_spearman,0.093,0.093,,,1214.0,,,HIGH,"time-series IC, non-xsec"
macro_ts,cftc_goods_chg8w,f10,OOS,all,ts_spearman,0.03181,0.03181,,,649.0,,,MED,"time-series IC, non-xsec"
macro_ts,cftc_goods_chg8w,f20,IS,all,ts_spearman,0.11926,0.11926,,,1214.0,,,HIGH,"time-series IC, non-xsec"
macro_ts,cftc_goods_chg8w,f20,OOS,all,ts_spearman,0.04982,0.04982,,,639.0,,,MED,"time-series IC, non-xsec"
macro_ts,cftc_goods_chg8w,f5,IS,low,ts_spearman,0.15251,0.15251,,,486.0,,,HIGH,"regime bucket, f5 only"
macro_ts,cftc_goods_chg8w,f5,OOS,low,ts_spearman,-0.24224,-0.24224,,,167.0,,,MED,"regime bucket, f5 only"
macro_ts,cftc_goods_chg8w,f5,IS,mid,ts_spearman,0.05101,0.05101,,,433.0,,,HIGH,"regime bucket, f5 only"
macro_ts,cftc_goods_chg8w,f5,OOS,mid,ts_spearman,0.04633,0.04633,,,249.0,,,MED,"regime bucket, f5 only"
macro_ts,cftc_goods_chg8w,f5,IS,high,ts_spearman,0.00095,0.00095,,,295.0,,,HIGH,"regime bucket, f5 only"
macro_ts,cftc_goods_chg8w,f5,OOS,high,ts_spearman,0.07275,0.07275,,,238.0,,,MED,"regime bucket, f5 only"
macro_switch,bdi_mom20,ret1,IS,all,switch_backtest,-0.004,-0.004,,,1214.0,,,HIGH,long 000300 when signal>0 else cash; no cost; ret1 next-day; PIT shift(1)
macro_switch,bdti_mom20,ret1,IS,all,switch_backtest,-0.291,-0.291,,,1214.0,,,HIGH,long 000300 when signal>0 else cash; no cost; ret1 next-day; PIT shift(1)
macro_switch,bdi_mom20,ret1,OOS,all,switch_backtest,0.14,0.14,,,659.0,,,MED,long 000300 when signal>0 else cash; no cost; ret1 next-day; PIT shift(1)
macro_switch,bdti_mom20,ret1,OOS,all,switch_backtest,-0.133,-0.133,,,659.0,,,MED,long 000300 when signal>0 else cash; no cost; ret1 next-day; PIT shift(1)
weather,no_signal_sample_insufficient,na,FULL(2026-08-04..09-18),na,gap_register,31.0,,,,31.0,31,,NONE,weather_data only 31 record-days / 40 cities (forecast+now); no IC computed - data gap registered
